start	end	text
3720	7420	我做了一个手机APP 叫 Pocket Earth 口袋地球
7420	9200	第一眼 它像一张地图
9200	15280	可我真正想做的 是把我的书 电影 音乐 照片 行程 看过的展览
15280	19640	还有某一刻写下的心情 全都盯回地球上他们所归属的那个地点
19640	24620	Pocket Earth 是一个基于地理空间 尽量跑在你手机端侧的个人知识库
25100	28080	而且这个库 你还能自定一出属于自己的一层
28080	33080	平时整理信息 我们用文件夹用标签 用双向链接 或者建一个数据库
33080	37720	Pocket Earth 换了一种办法 让每一条纪录都回答它属于地球上的哪里
37720	42560	为什么用地点 因为人对在哪的记忆 往往比哪天叫什么更牢
43080	47020	我们常常忘记一件事是哪天发生的 文件叫什么名字
47020	49380	却清楚的记得它发生在哪里
49380	53840	于是一本书盯到它的故事发生地 一部电影返回取景地
53840	58080	或者它的国别 一件展品 也回到当初我们见它那个展馆
58080	61060	一张照片自带金伟渡 一段旅行走完
61060	63540	就成了地球上一串只属于我的足迹
63540	66060	连一句心情都落到对应的坐标上
66060	68280	这些原本形状完全不同的碎片
68280	71060	最后都收敛成地球上一个个带坐标的点
71060	74960	不同类型的个人对象 最后都收敛成同一种空间对象
74960	76740	地球于是成了统一的索影
76740	80540	我在任意一个agent里记一部电影 贴一条心情
80900	83240	地球上立刻多出一个能点开的点
83240	87980	不用刷新 它们会变成地球上一个真实的位置 留在那里
88960	91560	就难以现在看到的这张主业地图来说
91560	95760	西湖边那几张拍立得 是我坐船在西湖上拍的黄昏
95760	97820	每一则笔记都做了象亮画
97820	102160	打开这件在上海博物馆看的宋代官谣词 卡片底部
102160	106080	会自动浮出相关记忆 既有地理坐标 也有东京孟华路
106080	109960	这种笔记之间的关联 来自于他们在予意坐标上相近
109960	113140	象亮画的笔记 即使描述不同也能相遇
113140	116100	产生联系 目前项目里接的都是真实数据
116100	119100	2000多不观影 1000多本书籍 几百首歌
119100	121080	数百张戴金伟渡的世界照片
121080	125260	千归一成地图能读懂的同一种结构 那它为什么叫Frost Agent
125260	129920	这个名字来自罗杰泽拉茲尼的科幻短片 趁生命气息逗留
129920	133920	小说里有一台机器叫弗洛斯特 他派出一台台漫游机
133920	137060	在地球上一点点搜集 书 画 物检
137060	139780	从这些碎片里去积攒知识和经验
139780	143920	我给Frost Agent也画了一张脸 一个方头方脑的像素小盒子
143920	147000	他的做派也一样 从不亲自吞下所有数据
147000	149080	只把活尾派给一个个子Agent
149080	151540	Frost Agent是一套多智能体的Harness
151540	154940	最上面是路由 明确的命令用规则秒回
154940	157500	能端侧判的 先走端侧分类
157500	160560	遇到没预料的问法 再交给云端判意图
160560	164220	云端这边 我接的是GMI Cloud推理引擎
164220	166720	一个API Key 实测能调几十个模型
166720	170020	每次交互都按意图路由 最快最省的用GMI Flash
170020	172600	结构化补权 是GLM和Deep Seek
172600	175760	看图用的是困 GMI Influence Engine作为模型网关
175760	178500	它背后是多档模型能力 端侧先判断
178500	181280	云端再负责理解 生成和看图
181280	184380	每一部谁处理 发了多久 都会写进Roundtrace
184380	188260	这就是Pocket Earth的端语协作 把模型编排起来
188260	189980	至Agent里有几个值得一讲
190340	192620	首先说手机端侧整理照片的Agent
192620	196700	它可以用时间和空间两种维度来整理
196700	199300	它的调度能力 最能体现Agent Harness的能力
199300	200320	你跟它说一句
200820	203120	我正在看卡夫卡 帮我建个歌单
203120	205040	或者再读海明威 来一单
205040	207540	它就把这位作家当成一个方向模点
207540	209020	先在你手机端侧
209020	212140	从几百首歌里按情绪 谈紧排出后果
212140	214580	它还能一键编一整档 24小时电台
214920	217680	从此刻到午夜 沿着地球上那条日落线
217680	220800	把一座座正在天黑的城市 做成一档日落电台
220800	224580	其背后都是同一套端侧挑云端写的编排机制
224580	227020	再把这套的机制放到博物馆里
227020	228400	就是我最喜欢的紫Agent
228400	229580	看展搭子
229580	231620	你拍一张展签 或者写一句
231620	234920	看展搭子会补全朝代 器类 材质 年份
234920	238060	而且它还会对展品进行3D模拟
238060	240140	绕展品一圈 进行高丝破键
240140	242100	这条链路要继续升化
242100	244400	你还可以把看展时拍的照片
244400	245840	一股脑全部丢给它
245840	248000	它会帮你一键生成看展纪录
248580	250700	这些都是我最近在中国私筹博物馆
250700	251780	看展时拍的照片
251780	253020	它帮我整理了出来
253760	254800	还有一个交代Agent
254800	257020	你一句话或一张截图丢进去
257020	259560	Frost的自己判断将记录落在星球上
259560	260920	还有一个AgentForge
260920	263260	它让你自定义出属于自己的知识库
263260	265760	你说一句帮我建一张杭州官僚地图
265760	267420	它就自己去联网研究
267420	268880	找出真实的官僚点
268880	270680	一一定位 听到你的地球上
270680	272020	形成一个新的紫Agent
272020	274440	和一层只属于你的主题地图
274440	276840	还有一个多智能体辩论的模式
276840	279180	正反两方各自举正 辩论
279180	281700	最后落垂裁断的是FrostAgent
282120	284700	这颗地球上还埋着一颗AR的种子
284700	287320	它会让你将拍下的照片毛固回现实
287320	289940	安卓上 WebXR可以识别平面
289940	291500	把照片放进真实空间
291500	293760	在iOS上我会接ARKit
293760	296240	这条AR的链路后续会继续完善
296240	299500	我觉得做AgentHarness模型能力再其次
299500	301780	重要的是把一群Agent编排好
301780	303440	整条调用链都摊开
303440	305060	这是可观测的事件数
305060	307400	谁再调谁 在哪算一目了然
307400	309180	重点在讲讲端测模型
309180	311460	这个项目把模型能力拆成了两类
311460	313800	端测的Selector和云端的Brain
313800	316760	端测Selector干的是高频 隐私敏感
316760	318420	输入很多 但输出很少的活
318420	320820	分类 排序 检索 看图打标
320820	324440	端测Agent将照片迁移整合为系统快捷指令
324440	326920	核验相册照片和备份照片的哈西纸
326920	329880	让整理和筛选变得便捷 清晰且可控
329880	331060	这一层做得很轻
331060	332160	它做的是路由
332160	334140	调度的是用户相册中的照片
334140	335560	而并非存储照片
335560	337400	为什么这件事非得在端测做
339960	343340	常常混着人脸 身份证 手机号 定位
343340	345980	这些图只能交给端测来读
345980	348500	也是云端无法替代端测的理由
348500	350700	而且端测模型不只用在照片上
350700	353880	端测的Selector几乎渗透在每一个字Agent里
353880	355900	这条端测链路落到设备上
355900	359140	接的是MN用MN跑困系列模型
359140	361460	文本用困3.5到0.8B
361460	363500	视觉用困3VL2B
363500	366500	针对ARM的SM-E2指令级做推理加速
366500	368780	核心还有一层是长期记忆
368780	370820	它让FrostAgent越来越懂你
370820	373340	它是一套双层记忆一层管
373340	374560	当下这段对话的连贯
374560	377040	一层跨绘画沉淀我的长期口味
377040	378720	每个字Agent的跑完一次
378720	380740	它就把新学道的偏好写回画像
380740	383900	比如我让读书Agent推荐3本世界名著
383900	386040	它会按我1000多本的阅读量上来达
386040	388620	还会当场把我已经读过的挑出来彪红
388620	389820	它记得我读过什么
389820	393440	Pocket2是一套多字能体配戴的合设化实验
393440	395680	数据先规一层地球上的脸
395680	398100	FrostAgent像CEO一样违派
398100	400900	端策管挑得着 云砖管写
400900	402620	安全杂决定能不能落地
402620	404700	整个编排过程全程看得见
404700	406540	结果都回到同一颗地球
406540	408280	此外 我还有一个设想
408280	410280	这套Agent的框架还想替你设交
410280	412140	这就是Agent代理设交
412140	413780	等你的长期画像够后
413780	415560	FrostAgent能带着它替你出门
415560	417140	白天去一个公共广场
417140	418640	遇见和你口味相近的人
418640	420800	夜里回来跟你说说今天遇见了谁
420800	421840	谁跟你聊得来
421840	423180	要不要顺着往下走
423180	425480	小说里的FrostAgent收集碎片
425480	428160	想弄懂做一个人是什么感觉
428160	429820	我做的这颗口袋地图
429820	433520	把你散落的书 影音 照片 形成 心情
433520	434680	收集 归位
434680	436720	让他们在地球上拼成你
436720	438400	趁生命气息逗留
438400	441320	你可以把所有在这颗星球上活过的痕迹
441320	443040	都留存 记录下来
